Time (seconds),Length,unlabeled},On,Off,Dimmer,Lighter
0,0.800000011920929,0.9974195957183838,1.3039580153417774E-06,1.5345812016676064E-06,0.0008534807129763067,0.0017240982269868255
0.10000000149011612,0.7999999523162842,0.997677743434906,1.2277994301257422E-06,1.2390032679832075E-06,0.0007631657063029706,0.0015566995134577155
0.20000000298023224,0.800000011920929,0.9973300695419312,1.5620329349985695E-06,1.3403439425019315E-06,0.0008614187827333808,0.001805658801458776
0.30000001192092896,0.800000011920929,0.9973822832107544,1.3153132840670878E-06,1.6641488400637172E-06,0.0009222198277711868,0.0016925729578360915
0.4000000059604645,0.8000000715255737,0.9975537657737732,1.0712450375649496E-06,1.3019563311900129E-06,0.0007827325025573373,0.0016611694591119885
0.5,0.7999999523162842,0.9975037574768066,1.0870458027056884E-06,1.4278076605478418E-06,0.0008081076084636152,0.0016856404254212976
0.6000000238418579,0.7999999523162842,0.9976216554641724,1.1824088232970098E-06,1.2817080232707667E-06,0.000730284838937223,0.001645548501983285
0.699999988079071,0.800000011920929,0.9975939393043518,1.1341018080202048E-06,1.4626052688981872E-06,0.0008223331533372402,0.0015810733893886209
0.800000011920929,0.800000011920929,0.9979871511459351,5.948710963821213E-07,1.5056477877806174E-06,0.0006895262049511075,0.001321187475696206
0.8999999761581421,0.8000000715255737,0.9984508156776428,3.478856740457559E-07,2.396912123003858E-06,0.00013092538574710488,0.0014155415119603276
1,0.7999999523162842,0.9974031448364258,1.6757124399191525E-07,3.3774676921893843E-06,6.742594268871471E-05,0.002525840885937214
1.100000023841858,0.7999999523162842,0.993364155292511,2.5705830353217607E-07,1.0908267540798988E-05,0.00014693995763082057,0.006477730814367533
1.2000000476837158,0.7999999523162842,0.9967169761657715,2.2865913607006405E-08,2.5284552975790575E-06,3.538491728249937E-05,0.0032451057340949774
1.2999999523162842,0.7999999523162842,0.9916200637817383,1.6991242191011224E-08,3.213546733604744E-05,0.00015250254364218563,0.008195335045456886
1.399999976158142,0.8000000715255737,0.9784829020500183,1.4778931856085364E-08,6.400520214810967E-05,0.0005952640203759074,0.02085789665579796
1.5,0.7999999523162842,0.9736711382865906,5.325777152620503E-09,1.5298764992621727E-05,0.0004068294074386358,0.02590678073465824
1.600000023841858,0.8000000715255737,0.986291229724884,2.3188851727695692E-08,8.472007903037593E-05,0.00019598071230575442,0.013428056612610817
1.7000000476837158,0.7999999523162842,0.9994670748710632,4.6662240293926516E-08,1.7723410564940423E-05,2.5720713892951608E-05,0.0004893440054729581
1.7999999523162842,0.7999999523162842,0.9995657205581665,2.4832948497532925E-07,6.518299778690562E-05,5.823712399433134E-06,0.00036296906182542443
1.899999976158142,0.8000000715255737,0.999728262424469,1.1452082162577426E-06,6.750285683665425E-05,7.382141689049604E-07,0.00020244602637831122
